OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
TDRS 3,1988-091B,2024-09-23T04:32:42.535680,1.00270969,.0035597,13.0878,345.2334,334.2491,62.4204,0,U,19548,999,11905,0,-.307E-5,0
FLTSATCOM 8 (USA 46),1989-077A,2024-09-22T14:55:52.817376,1.00263309,.0004499,12.6050,354.9494,185.1751,171.3833,0,U,20253,999,25427,0,-.376E-5,0
SKYNET 4C,1990-079A,2024-09-16T23:46:42.672288,1.00272123,.0003588,13.5464,354.1522,193.5870,198.6982,0,U,20776,999,12449,0,.124E-5,0
TDRS 5,1991-054B,2024-09-21T01:25:00.028704,1.00266473,.0006671,14.1506,358.4001,229.8539,91.0706,0,U,21639,999,12135,0,-.308E-5,0
TDRS 6,1993-003B,2024-09-23T03:50:25.333152,1.00274912,.0011634,14.1668,1.6875,175.3249,197.2634,0,U,22314,999,11604,0,-.304E-5,0
UFO 2 (USA 95),1993-056A,2024-09-22T23:02:55.482432,1.00273197,.0004103,11.6863,6.8626,188.9684,180.8591,0,U,22787,999,11221,0,.116E-5,0
USA 99 (MILSTAR-1 1),1994-009A,2024-09-23T08:46:47.451072,1.00271570,.0002745,16.6628,34.4160,172.1276,197.8897,0,U,22988,999,2662,0,-.208E-5,0
UFO 4 (USA 108),1995-003A,2024-09-23T13:22:29.957952,1.00270775,.0005377,9.6943,15.1629,171.5282,189.1409,0,U,23467,999,10861,0,-.32E-6,0
TDRS 7,1995-035B,2024-09-22T16:39:12.629088,1.00267226,.0024461,13.6417,352.5389,77.1869,266.8270,0,U,23613,999,10690,0,-.208E-5,0
USA 115 (MILSTAR-1 2),1995-060A,2024-09-23T08:28:42.542688,1.00270331,.000258,13.8385,8.3220,220.8724,140.6771,0,U,23712,999,2655,0,-.29E-6,0
INMARSAT 3-F1,1996-020A,2024-09-23T14:06:42.597792,1.00000326,.0008549,9.2723,52.0927,136.0569,211.8612,0,U,23839,999,10393,0,.21E-6,0
INMARSAT 3-F2,1996-053A,2024-09-22T22:55:42.690144,0.99976144,.0006977,8.4096,60.0425,109.3050,246.5121,0,U,24307,999,10259,0,.6E-7,0
INMARSAT 3-F3,1996-070A,2024-09-23T07:18:20.382048,1.00001073,.0007433,8.9376,55.3729,141.6182,236.0162,0,U,24674,999,10159,0,-.287E-5,0
GALAXY 25 (G-25),1997-026A,2024-09-23T13:02:10.179168,0.99087647,.0005673,5.7872,75.0032,44.2546,161.6310,0,U,24812,999,9996,0,.13E-6,0
AMC-3,1997-050A,2024-09-23T10:47:09.811968,1.00270117,.0002846,6.5876,71.1038,122.0327,259.4392,0,U,24936,999,4610,0,-.272E-5,0
USA 134,1997-065A,2024-09-23T10:12:20.667744,1.00274207,.0002485,12.0270,26.1838,198.7415,178.8102,0,U,25019,999,2662,0,-.73E-6,0
INMARSAT 3-F5,1998-006B,2024-09-23T11:03:59.427936,1.00268850,.0004928,8.2665,59.2042,136.0601,279.5354,0,U,25153,999,9756,0,-.3E-5,0
ASTRA 2A,1998-050A,2024-09-23T12:54:54.804384,1.00272712,.0003099,5.4928,76.3059,112.2942,65.1947,0,U,25462,999,4000,0,.56E-6,0
SKYNET 4E,1999-009B,2024-09-23T00:37:22.861056,1.00272532,.0003034,11.6889,12.5402,184.9924,172.9604,0,U,25639,999,4504,0,-.44E-6,0
ABS-6,1999-053A,2024-09-23T12:12:42.735744,1.00271141,.0001647,0.0039,183.8126,334.3242,186.8966,0,U,25924,999,9150,0,-.132E-5,0
UFO 10 (USA 146),1999-063A,2024-09-23T04:24:42.624288,1.00271595,.0005652,9.5456,30.2001,182.7976,192.9577,0,U,25967,999,9101,0,-.196E-5,0
GALAXY 11 (G-11),1999-071A,2024-09-23T13:25:14.858400,1.00271820,.0000964,5.1180,78.0025,197.2257,95.2592,0,U,26038,999,9074,0,-.67E-6,0
USA 148,2000-001A,2024-09-23T14:30:33.240096,1.00273901,.0002591,10.8698,37.0314,203.7706,159.9417,0,U,26052,999,2663,0,.26E-6,0
ASIASTAR,2000-016A,2024-09-23T12:03:42.551712,1.00269039,.0004898,7.6380,64.5810,131.9644,92.2169,0,U,26107,999,8958,0,-.344E-5,0
USA 149 (DSP 20),2000-024A,2024-09-19T07:58:40.854720,1.00289883,.0001301,12.6880,16.1706,245.8984,52.0120,0,U,26356,999,2653,0,.95E-6,0
TDRS 8,2000-034A,2024-09-23T12:38:42.719712,1.00277709,.0005662,11.6838,36.4095,194.4126,154.2675,0,U,26388,999,8884,0,.86E-6,0
