OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
STARLINK-1007,2019-074A,2024-09-23T16:00:00.999936,15.97945753,.0011411,53.0440,16.3336,334.8382,233.3948,0,U,44713,999,599,.10657E-2,.498702E-2,.11597E-3
STARLINK-1008,2019-074B,2024-09-23T09:41:20.574240,15.06405920,.0001933,53.0480,56.1408,77.9847,282.1358,0,U,44714,999,26852,.25448E-3,.3511E-4,0
STARLINK-1009,2019-074C,2024-09-23T03:03:15.161184,15.06414553,.0000932,53.0602,57.3845,113.4203,246.6884,0,U,44715,999,26847,.2273E-3,.3107E-4,0
STARLINK-1010,2019-074D,2024-09-23T09:51:57.790656,15.06410651,.0001886,53.0553,56.1086,87.5380,272.5825,0,U,44716,999,26850,.19528E-3,.2629E-4,0
STARLINK-1011,2019-074E,2024-09-23T05:02:43.351008,15.06393671,.0001382,53.0544,77.0079,89.3212,270.7936,0,U,44717,999,26821,.22561E-3,.308E-4,0
STARLINK-1012,2019-074F,2024-09-23T10:45:02.484288,15.06396476,.0001827,53.0580,55.9445,86.9598,273.1600,0,U,44718,999,26852,.15612E-3,.2044E-4,0
STARLINK-1013,2019-074G,2024-09-23T10:55:39.152928,15.06407850,.0001573,53.0563,55.9115,94.3496,265.7673,0,U,44719,999,26965,.43492E-4,.366E-5,0
STARLINK-1014,2019-074H,2024-09-23T03:30:56.931264,15.14113622,.0000899,53.0540,51.7809,267.6229,92.4661,0,U,44720,999,26856,.98644E-3,.17919E-3,0
STARLINK-1015,2019-074J,2024-09-23T10:18:34.135200,15.06405268,.0001444,53.0519,56.3672,103.5299,256.5850,0,U,44721,999,26851,.40405E-4,.32E-5,0
STARLINK-1017,2019-074L,2024-09-23T09:57:16.385472,15.06404465,.0001618,53.0531,56.0907,96.3419,263.7754,0,U,44723,999,26852,.16833E-3,.2227E-4,0
STARLINK-1019,2019-074M,2024-09-23T02:42:01.102464,15.06399778,.0001474,53.0534,57.4453,90.1148,270.0009,0,U,44724,999,26847,.53151E-4,.51E-5,0
STARLINK-1020,2019-074N,2024-09-23T10:47:41.302176,15.06407093,.0001785,53.0507,75.9322,82.0400,278.0792,0,U,44725,999,26824,.10339E-3,.1259E-4,0
STARLINK-1021,2019-074P,2024-09-23T10:34:25.867488,15.06395361,.0001278,53.0528,55.9750,88.5719,271.5416,0,U,44726,999,26852,.21117E-3,.2865E-4,0
STARLINK-1027,2019-074V,2024-09-23T04:09:36.775584,15.06414456,.0000672,53.0495,77.1818,54.4242,305.6809,0,U,44732,999,26820,.31175E-3,.4367E-4,0
STARLINK-1028,2019-074W,2024-09-22T20:09:16.029504,15.06415558,.0001142,53.0535,58.6704,79.9507,280.1611,0,U,44733,999,26843,.44061E-3,.629E-4,0
STARLINK-1029,2019-074X,2024-09-23T12:25:53.788224,15.06399304,.0001498,53.0547,335.6309,88.6513,271.4647,0,U,44734,999,26963,.43066E-3,.6139E-4,0
STARLINK-1030,2019-074Y,2024-09-23T10:42:22.934592,15.06396873,.0001308,53.0513,75.9508,92.5872,267.5267,0,U,44735,999,26824,.10462E-3,.1277E-4,0
STARLINK-1031,2019-074Z,2024-09-23T11:03:37.288800,15.06391686,.0001498,53.0523,75.8823,93.0668,267.0492,0,U,44736,999,26825,.12045E-3,.1513E-4,0
STARLINK-1032,2019-074AA,2024-09-23T11:19:32.968704,15.06399171,.0001292,53.0544,75.8320,100.0280,260.0855,0,U,44737,999,26825,.48096E-4,.435E-5,0
STARLINK-1035,2019-074AD,2024-09-23T11:14:14.468064,15.06402457,.0001304,53.0547,75.8595,97.4524,262.6613,0,U,44740,999,26825,.11897E-3,.1491E-4,0
STARLINK-1036,2019-074AE,2024-09-23T05:08:00.159936,15.06402635,.0001968,53.0520,76.9893,92.9207,267.2007,0,U,44741,999,26821,.12944E-3,.1647E-4,0
STARLINK-1038,2019-074AG,2024-09-23T12:41:49.075872,15.06400288,.0001738,53.0474,95.5738,90.8069,269.3119,0,U,44743,999,26807,.10887E-3,.134E-4,0
STARLINK-1039,2019-074AH,2024-09-23T12:57:44.063712,15.06404910,.0001854,53.0542,95.5321,88.1552,271.9649,0,U,44744,999,26798,.18341E-3,.2452E-4,0
STARLINK-1042,2019-074AL,2024-09-23T10:52:04.193184,15.22305456,.0002038,53.0590,80.9279,299.9691,60.1103,0,U,44747,999,26819,.17537E-2,.4082E-3,0
STARLINK-1043,2019-074AM,2024-09-23T06:03:44.168256,15.06409809,.0001336,53.0536,96.8217,85.6906,274.4236,0,U,44748,999,26794,.29836E-3,.4167E-4,0
STARLINK-1046,2019-074AQ,2024-09-23T06:24:57.480480,15.06399926,.0001502,53.0525,96.7545,89.3793,270.7368,0,U,44751,999,26794,-.55962E-4,-.1115E-4,0
STARLINK-1047,2019-074AR,2024-09-23T11:40:47.024832,15.06395119,.0001106,53.0529,75.7642,115.8049,244.3054,0,U,44752,999,26825,.43776E-4,.371E-5,0
STARLINK-1048,2019-074AS,2024-09-23T10:13:11.973792,15.06408030,.0001652,53.0533,56.0383,92.2023,267.9155,0,U,44753,999,26852,.72532E-4,.799E-5,0
STARLINK-1052,2019-074AW,2024-09-23T02:10:47.123616,15.38668524,.0006271,53.0355,42.9867,199.0902,160.9867,0,U,44757,999,26868,.2684E-2,.105176E-2,0
STARLINK-1053,2019-074AX,2024-09-23T05:58:26.380416,15.06407638,.0001426,53.0517,96.9217,86.5718,273.5434,0,U,44758,999,26794,.25687E-3,.3547E-4,0
STARLINK-1054,2019-074AY,2024-09-23T13:29:34.978560,15.06401287,.0001834,53.0536,95.4304,97.6770,262.4427,0,U,44759,999,26563,.103E-3,.1253E-4,0
STARLINK-1055,2019-074AZ,2024-09-23T16:00:00.999936,15.51584220,.0005464,53.0102,19.9456,245.6539,129.2994,0,U,44760,999,591,.25228E-2,.154762E-2,0
STARLINK-1056,2019-074BA,2024-09-23T13:24:16.676640,15.06396451,.0001288,53.0539,95.4474,94.1747,265.9390,0,U,44761,999,26799,.10732E-3,.1317E-4,0
STARLINK-1057,2019-074BB,2024-09-23T11:51:22.997952,15.06409445,.0001351,53.0485,75.7328,88.0836,272.0308,0,U,44762,999,26825,.1303E-3,.166E-4,0
STARLINK-1058,2019-074BC,2024-09-23T13:08:24.572832,15.06406237,.0000955,53.0544,95.8427,77.9776,282.1320,0,U,44763,999,26798,.23901E-3,.3281E-4,0
STARLINK-1059,2019-074BD,2024-09-23T11:03:26.202816,15.61957852,.0004365,53.0746,334.4051,314.5361,45.5296,0,U,44764,999,26971,.18764E-2,.169606E-2,0
STARLINK-1060,2019-074BE,2024-09-23T04:14:55.595040,15.06387674,.0001919,53.0516,77.1587,94.9844,265.1364,0,U,44765,999,26820,-.14295E-3,-.241E-4,0
STARLINK-1061,2019-074BF,2024-09-23T05:47:48.596352,15.06397467,.0001502,53.0531,96.8701,97.4171,262.6988,0,U,44766,999,26794,.23731E-3,.3255E-4,0
STARLINK-1062,2019-074BG,2024-09-23T11:43:32.003904,15.06395718,.0001409,53.0532,96.3421,95.1886,264.9264,0,U,44767,999,26797,.65566E-4,.695E-5,0
STARLINK-1063,2019-074BH,2024-09-23T12:31:11.862048,15.06403829,.0001607,53.0528,95.6106,90.1327,269.9846,0,U,44768,999,26799,.16144E-3,.2124E-4,0
STARLINK-1067,2019-074BL,2024-09-23T05:53:07.137600,15.06408151,.0001644,53.0529,96.8546,91.0181,269.0997,0,U,44771,999,26794,.23986E-3,.3294E-4,0
STARLINK-1068,2019-074BM,2024-09-23T04:04:18.007104,15.06412054,.0000759,53.0483,77.1897,70.3555,289.7516,0,U,44772,999,26820,.31784E-3,.4458E-4,0
STARLINK-1073,2020-001A,2024-09-23T14:01:24.275136,15.06397217,.0001164,53.0522,215.3324,102.5128,257.5991,0,U,44914,999,25964,-.87085E-4,-.1578E-4,0
STARLINK-1084,2020-001B,2024-09-23T03:35:07.256256,15.06410552,.0001271,53.0542,217.2822,90.4985,269.6150,0,U,44915,999,25958,.11748E-2,.17265E-3,0
STARLINK-1098,2020-001D,2024-09-23T13:13:39.556128,15.06401333,.0001578,53.0540,215.4772,97.4303,262.6865,0,U,44917,999,25964,.21512E-3,.2924E-4,0
STARLINK-1102,2020-001G,2024-09-23T08:14:19.223520,15.41366213,.0001042,53.0475,133.2935,232.2992,127.7917,0,U,44920,999,26079,.7918E-3,.33296E-3,0
STARLINK-1103,2020-001H,2024-09-23T14:15:59.400000,15.06401264,.0001351,53.0531,215.2389,87.2909,272.8235,0,U,44921,999,25962,.58127E-3,.8387E-4,0
STARLINK-1104,2020-001J,2024-09-23T13:34:52.943520,15.06399697,.0001296,53.0521,215.4145,84.6950,275.4187,0,U,44922,999,25964,.39912E-3,.5668E-4,0
STARLINK-1106,2020-001K,2024-09-23T00:10:01.890048,15.38634495,.0007123,53.0135,154.1551,125.9424,234.2240,0,U,44923,999,26045,.71819E-3,.2754E-3,0
STARLINK-1112,2020-001M,2024-09-23T14:17:20.278176,15.06408055,.0001271,53.0534,215.2826,87.4268,272.6867,0,U,44925,999,25964,.21761E-3,.2962E-4,0
STARLINK-1114,2020-001P,2024-09-23T06:35:33.357696,15.06444266,.0001444,53.0536,216.7197,93.0540,267.0614,0,U,44927,999,25960,.11078E-2,.16277E-3,0
STARLINK-1123,2020-001S,2024-09-23T13:18:57.769920,15.06414403,.0000699,53.0545,215.4655,80.4527,279.6541,0,U,44930,999,25964,.42713E-3,.6089E-4,0
STARLINK-1130 (DARKSAT),2020-001U,2024-09-23T06:40:53.221728,15.06413287,.0001296,53.0535,216.7025,87.5612,272.5525,0,U,44932,999,26083,.67682E-3,.9818E-4,0
STARLINK-1144,2020-001V,2024-09-23T13:39:45.620064,15.06645482,.0001608,53.0524,215.3978,100.4446,259.6724,0,U,44933,999,26093,.27267E-2,.4084E-3,0
STARLINK-1071,2020-001W,2024-09-23T12:23:14.180640,15.06403734,.000177,53.0525,195.6400,98.7964,261.3226,0,U,44934,999,25991,.74087E-3,.10772E-3,0
STARLINK-1079,2020-001Z,2024-09-23T11:51:35.439552,15.23276486,.0006038,53.0544,181.0942,73.2075,286.9583,0,U,44937,999,26012,.15389E-2,.36821E-3,0
STARLINK-1091,2020-001AC,2024-09-23T05:07:59.610432,15.06437637,.000168,53.0527,196.9958,75.3716,284.7459,0,U,44940,999,25986,.16949E-2,.2508E-3,0
STARLINK-1094,2020-001AD,2024-09-23T12:02:00.794112,15.06387549,.000267,53.0538,195.7028,86.0841,274.0454,0,U,44941,999,25991,.29861E-3,.4167E-4,0
STARLINK-1096,2020-001AE,2024-09-22T20:23:15.389952,15.39048406,.0005118,53.0086,109.0408,180.0735,180.0267,0,U,44942,999,26107,.69204E-3,.26876E-3,0
STARLINK-1108,2020-001AG,2024-09-23T18:00:00.999648,15.84718299,.0000822,53.0478,184.2855,169.8617,209.4970,0,U,44944,999,26009,.10175E-2,.246823E-2,0
STARLINK-1109,2020-001AH,2024-09-23T13:00:08.856288,15.06238790,.0001308,53.0528,195.5193,76.8708,283.2427,0,U,44945,999,25991,.2091E-2,.30865E-3,0
STARLINK-1122,2020-001AM,2024-09-23T12:33:52.631712,15.06388794,.0000775,53.0517,195.6022,94.2721,265.8357,0,U,44949,999,25991,.57097E-3,.8231E-4,0
STARLINK-1117,2020-001AQ,2024-09-23T12:07:18.506784,15.06427100,.0001768,53.0535,195.6874,96.3787,263.7403,0,U,44952,999,25991,.99134E-3,.14526E-3,0
STARLINK-1066,2020-001AS,2024-09-23T11:16:53.113152,15.06405682,.0001399,53.0534,175.8438,84.3362,275.7786,0,U,44954,999,26013,-.60198E-4,-.1178E-4,0
STARLINK-1076,2020-001AX,2024-09-23T10:45:01.668672,15.06410098,.0001396,53.0514,175.9448,69.5709,290.5429,0,U,44959,999,26018,.64503E-3,.9342E-4,0
STARLINK-1080,2020-001AZ,2024-09-23T10:55:39.010368,15.06421429,.000114,53.0506,175.9158,100.1710,259.9408,0,U,44961,999,26019,.85597E-3,.12498E-3,0
STARLINK-1088,2020-001BE,2024-09-22T23:52:41.653920,15.39326356,.000097,53.0630,110.5839,179.6039,180.4965,0,U,44966,999,26108,.6671E-3,.26121E-3,0
STARLINK-1089,2020-001BF,2024-09-23T16:00:00.999936,15.85363301,.0003675,53.0488,159.7274,210.3497,307.6558,0,U,44967,999,592,.98093E-3,.245441E-2,0
