OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
TDRS 3,1988-091B,2024-09-23T04:32:42.535680,1.00270969,.0035597,13.0878,345.2334,334.2491,62.4204,0,U,19548,999,11905,0,-.307E-5,0
HST,1990-037B,2024-09-23T13:41:16.043712,15.19606803,.0003145,28.4694,45.1501,47.5969,312.4890,0,U,20580,999,69226,.50977E-3,.11369E-3,0
TDRS 5,1991-054B,2024-09-21T01:25:00.028704,1.00266473,.0006671,14.1506,358.4001,229.8539,91.0706,0,U,21639,999,12135,0,-.308E-5,0
TDRS 6,1993-003B,2024-09-23T03:50:25.333152,1.00274912,.0011634,14.1668,1.6875,175.3249,197.2634,0,U,22314,999,11604,0,-.304E-5,0
TDRS 7,1995-035B,2024-09-22T16:39:12.629088,1.00267226,.0024461,13.6417,352.5389,77.1869,266.8270,0,U,23613,999,10690,0,-.208E-5,0
ISS (ZARYA),1998-067A,2024-09-23T08:45:19.253088,15.49523432,.000709,51.6385,189.0942,23.8528,76.9627,0,U,25544,999,47377,.93054E-3,.52153E-3,0
LANDSAT 7,1999-020A,2024-09-23T14:06:41.205024,14.60957035,.0001747,97.8835,289.7246,84.1936,13.3595,0,U,25682,999,35350,.24142E-3,.1139E-4,0
TERRA,1999-068A,2024-09-23T14:03:56.386656,14.60007918,.0003458,98.0382,328.1497,70.4963,39.1842,0,U,25994,999,31740,.27028E-3,.1252E-4,0
TDRS 8,2000-034A,2024-09-23T12:38:42.719712,1.00277709,.0005662,11.6838,36.4095,194.4126,154.2675,0,U,26388,999,8884,0,.86E-6,0
TIMED,2001-055B,2024-09-23T11:57:52.936704,14.92101080,.0000276,74.0701,64.3807,64.2949,295.8262,0,U,26998,999,23648,.37573E-3,.3783E-4,0
AQUA,2002-022A,2024-09-23T14:50:24.081792,14.59923140,.0001857,98.3392,217.4305,103.6598,8.7397,0,U,27424,999,19103,.61921E-3,.2919E-4,0
TDRS 10,2002-055A,2024-09-23T12:58:42.835584,1.00268978,.0002115,9.7430,44.6496,340.6620,1.1336,0,U,27566,999,7989,0,.76E-6,0
SORCE,2003-004A,2024-09-23T10:37:43.438368,14.96511408,.0022287,39.9924,249.6755,214.1940,145.7417,0,U,27651,999,17696,.65811E-3,.7508E-4,0
AURA,2004-026A,2024-09-23T14:08:00.409632,14.59145827,.0002369,98.2582,211.8020,97.3030,262.8439,0,U,28376,999,7402,.56974E-3,.2637E-4,0
SWIFT,2004-047A,2024-09-23T04:17:16.097856,15.23093684,.0007102,20.5549,197.8250,107.6758,252.4455,0,U,28485,999,8911,.90716E-3,.22678E-3,0
THEMIS A,2007-004A,2024-09-23T09:03:59.443776,0.87835436,.8382672,8.9765,257.6267,338.2018,0.6502,0,U,30580,999,3572,0,-.296E-5,0
THEMIS D,2007-004D,2024-09-23T13:30:49.158144,0.87836639,.8373853,4.5365,257.1836,342.7415,47.8470,0,U,30797,999,3552,0,-.198E-5,0
THEMIS E,2007-004E,2024-09-23T07:32:36.118752,0.87834007,.8362524,6.5540,277.4478,323.5684,343.4029,0,U,30798,999,6035,0,-.211E-5,0
FGRST (GLAST),2008-029A,2024-09-23T08:35:37.603104,15.17989600,.0010236,25.5818,254.5746,100.6025,259.5665,0,U,33053,999,89950,.2973E-3,.654E-4,0
TDRS 11,2013-004A,2024-09-23T14:06:42.597792,1.00280163,.0003476,2.8013,15.0302,65.3714,320.1005,0,U,39070,999,4036,0,.7E-6,0
TDRS 12,2014-004A,2024-09-23T10:43:55.536384,1.00266487,.0006192,3.5691,5.7229,214.1953,262.8500,0,U,39504,999,3794,0,-.281E-5,0
GPM-CORE,2014-009C,2024-09-23T14:24:38.765088,15.44762239,.0011794,64.9821,263.5416,271.0905,88.8884,0,U,39574,999,60025,.37193E-3,.17326E-3,0
MMS 1,2015-011A,2024-09-23T10:00:00.999936,0.28521300,.9009865,53.9929,4.7116,151.8657,96.4804,0,U,40482,999,130,0,-.2305E-4,0
MMS 2,2015-011B,2024-09-23T12:00:00.999648,0.28520570,.9010439,53.9968,4.7074,151.8684,103.8753,0,U,40483,999,130,0,-.2315E-4,0
MMS 3,2015-011C,2024-09-23T12:00:00.999648,0.28520389,.9009918,53.9977,4.7071,151.8686,104.0119,0,U,40484,999,130,0,-.2315E-4,0
MMS 4,2015-011D,2024-09-23T14:00:01.999872,0.28519695,.9008585,54.0018,4.7027,151.8730,102.7580,0,U,40485,999,130,0,-.2324E-4,0
TDRS 13,2017-047A,2024-09-23T14:18:21.616128,1.00271910,.0014866,3.5717,346.7786,129.8591,89.4705,0,U,42915,999,2601,0,-.11E-5,0
NOAA 20 (JPSS-1),2017-073A,2024-09-23T14:18:57.636288,14.19593091,.0000778,98.7109,203.8844,9.4769,350.6421,0,U,43013,999,35486,.15504E-3,.284E-5,0
